,player,unit,time,age,round,game_id,text
0,Green,Philosophy,2020-03-28 19:11:33,IV,21,7472433,Green destroys Philosophy##
1,Grey,Bronze,2020-03-28 18:50:01,III,19,7472433,Grey destroys Bronze##
2,Green,Philosophy,2020-03-28 18:47:05,III,19,7472433,Green destroys Philosophy##
3,Grey,Religion,2020-03-28 18:36:50,III,18,7472433,Grey destroys Religion##
4,Green,Agriculture,2020-03-28 18:35:04,III,18,7472433,Green destroys Agriculture##
5,Purple,Bronze,2020-03-28 18:21:50,III,17,7472433,Purple destroys Bronze##
6,Green,Bronze,2020-03-28 14:59:53,II,9,7472433,Green destroys Bronze##
7,Purple,Agriculture,2020-03-28 14:41:58,I,8,7472433,Purple destroys Agriculture##
8,Purple,Agriculture,2020-03-28 14:41:48,I,8,7472433,Purple destroys Agriculture##
9,Grey,Agriculture,2020-03-28 13:58:11,I,6,7472433,Grey destroys Agriculture##
10,Purple,Religion,2020-04-06 22:30:20,II,10,7472434,Purple destroys Religion##
11,Purple,Bronze,2020-04-06 21:31:50,II,9,7472434,Purple destroys Bronze##
12,Green,Bronze,2020-04-06 12:26:52,I,4,7472434,Green destroys Bronze##
13,Purple,Alchemy,2020-04-09 20:38:53,IV,19,7473200,Purple destroys Alchemy##
14,Orange,Iron,2020-04-09 14:27:17,III,16,7473200,Orange destroys Iron##
15,Orange,Iron,2020-04-09 14:26:53,III,16,7473200,Orange destroys Iron##
16,Orange,Printing Press,2020-04-09 14:25:54,III,16,7473200,Orange destroys Printing Press##
17,Orange,Philosophy,2020-04-09 14:25:40,III,16,7473200,Orange destroys Philosophy##
18,Orange,Bronze,2020-04-09 14:25:28,III,16,7473200,Orange destroys Bronze##
19,Orange,Agriculture,2020-04-09 14:25:09,III,16,7473200,Orange destroys Agriculture##
20,Green,Bronze,2020-04-08 16:26:29,II,10,7473200,Green destroys Bronze##
21,Grey,Agriculture,2020-04-08 11:26:58,II,8,7473200,Grey destroys Agriculture##
22,Grey,Philosophy,2020-04-14 18:19:33,IV,19,7473404,Grey destroys Philosophy##
23,Grey,Bronze,2020-04-14 18:18:47,IV,19,7473404,Grey destroys Bronze##
24,Grey,Bronze,2020-04-14 17:14:30,IV,18,7473404,Grey destroys Bronze##
25,Grey,Philosophy,2020-04-14 17:11:47,IV,18,7473404,Grey destroys Philosophy##
26,Green,Irrigation,2020-04-14 16:13:20,III,18,7473404,Green destroys Irrigation##
27,Green,Religion,2020-04-13 16:32:03,III,14,7473404,Green destroys Religion##
28,Green,Bronze,2020-04-13 11:00:49,II,11,7473404,Green destroys Bronze##
29,Purple,Philosophy,2020-04-12 10:37:34,II,8,7473404,Purple destroys Philosophy##
30,Green,Agriculture,2020-04-10 10:04:38,I,5,7473404,Green destroys Agriculture##
31,Orange,Iron,2020-04-22 17:08:54,IV,19,7473814,Orange destroys Iron##
32,Purple,Bronze,2020-04-22 15:22:39,III,18,7473814,Purple destroys Bronze##
33,Purple,Bronze,2020-04-22 15:22:28,III,18,7473814,Purple destroys Bronze##
34,Purple,Religion,2020-04-17 15:11:52,II,9,7473814,Purple destroys Religion##
35,Orange,Bronze,2020-04-17 15:00:22,II,9,7473814,Orange destroys Bronze##
36,Grey,Printing Press,2020-04-17 13:00:03,II,8,7473814,Grey destroys Printing Press##
37,Green,Bronze,2020-04-17 12:52:49,II,8,7473814,Green destroys Bronze##
38,Orange,Philosophy,2020-04-28 15:44:29,III,15,7474472,Orange destroys Philosophy##
39,Orange,Philosophy,2020-04-28 15:43:51,III,15,7474472,Orange destroys Philosophy##
40,Orange,Philosophy,2020-04-28 10:29:05,III,14,7474472,Orange destroys Philosophy##
41,Green,Agriculture,2020-04-27 11:48:44,II,10,7474472,Green destroys Agriculture##
42,Purple,Philosophy,2020-04-26 02:49:07,II,8,7474472,Purple destroys Philosophy##
43,Purple,Bronze,2020-04-24 18:50:58,I,6,7474472,Purple destroys Bronze##
44,Purple,Bronze,2020-05-05 09:43:01,IV,18,7474996,Purple destroys Bronze##
45,Grey,Agriculture,2020-05-04 21:11:42,III,16,7474996,Grey destroys Agriculture##
46,Grey,Bronze,2020-05-02 14:32:31,II,11,7474996,Grey destroys Bronze##
47,Green,Religion,2020-05-02 13:50:14,II,11,7474996,Green destroys Religion##
48,Grey,Bronze,2020-05-02 01:26:12,II,10,7474996,Grey destroys Bronze##
49,Purple,Religion,2020-05-01 13:42:12,II,8,7474996,Purple destroys Religion##
50,Grey,Oil,2020-05-16 21:40:42,IV,18,7475368,Grey destroys Oil##
51,Purple,Iron,2020-05-16 13:49:30,IV,17,7475368,Purple destroys Iron##
52,Grey,Bronze,2020-05-16 12:58:09,III,16,7475368,Grey destroys Bronze##
53,Grey,Bronze,2020-05-16 12:57:57,III,16,7475368,Grey destroys Bronze##
54,Grey,Agriculture,2020-05-16 12:57:22,III,16,7475368,Grey destroys Agriculture##
55,Green,Iron,2020-05-16 12:49:01,III,16,7475368,Green destroys Iron##
56,Orange,Philosophy,2020-05-14 19:53:42,II,12,7475368,Orange destroys Philosophy##
57,Green,Bronze,2020-05-13 12:47:07,II,8,7475368,Green destroys Bronze##
58,Purple,Alchemy,2020-05-11 18:06:43,IV,18,7475369,Purple destroys Alchemy##
59,Orange,Bronze,2020-05-11 13:23:54,III,15,7475369,Orange destroys Bronze##
60,Grey,Philosophy,2020-05-11 12:25:50,III,13,7475369,Grey destroys Philosophy##
61,Grey,Agriculture,2020-05-10 17:14:35,II,10,7475369,Grey destroys Agriculture##
62,Grey,Bronze,2020-05-09 15:11:06,II,7,7475369,Grey destroys Bronze##
63,Grey,Coal,2020-05-27 14:04:26,IV,19,7476107,Grey destroys Coal##
64,Grey,Organized Religion,2020-05-27 14:03:01,IV,19,7476107,Grey destroys Organized Religion##
65,Purple,Alchemy,2020-05-27 13:43:37,IV,19,7476107,Purple destroys Alchemy##
66,Orange,Scientific Method,2020-05-27 13:35:37,IV,19,7476107,Orange destroys Scientific Method##
67,Orange,Bronze,2020-05-27 13:35:06,IV,19,7476107,Orange destroys Bronze##
68,Grey,Alchemy,2020-05-27 13:18:51,IV,18,7476107,Grey destroys Alchemy##
69,Purple,Religion,2020-05-25 22:57:16,III,15,7476107,Purple destroys Religion##
70,Purple,Agriculture,2020-05-22 00:40:52,II,12,7476107,Purple destroys Agriculture##
71,Orange,Philosophy,2020-05-22 00:32:47,II,12,7476107,Orange destroys Philosophy##
72,Green,Agriculture,2020-05-21 23:46:15,II,12,7476107,Green destroys Agriculture##
73,Orange,Agriculture,2020-05-20 12:36:56,II,9,7476107,Orange destroys Agriculture##
74,Green,Bronze,2020-05-19 12:11:01,II,8,7476107,Green destroys Bronze##
75,Green,Iron,2020-05-29 15:42:18,III,16,7476793,Green destroys Iron##
76,Green,Iron,2020-05-29 15:41:51,III,16,7476793,Green destroys Iron##
77,Green,Iron,2020-05-29 15:40:53,III,16,7476793,Green destroys Iron##
78,Purple,Bronze,2020-05-29 12:02:51,II,12,7476793,Purple destroys Bronze##
79,Grey,Religion,2020-05-29 11:21:06,II,11,7476793,Grey destroys Religion##
80,Grey,Agriculture,2020-05-29 11:20:43,II,11,7476793,Grey destroys Agriculture##
81,Grey,Agriculture,2020-05-29 11:20:36,II,11,7476793,Grey destroys Agriculture##
82,Grey,Agriculture,2020-05-29 10:56:09,II,10,7476793,Grey destroys Agriculture##
83,Grey,Bronze,2020-05-29 10:55:56,II,10,7476793,Grey destroys Bronze##
84,Grey,Bronze,2020-05-29 10:55:48,II,10,7476793,Grey destroys Bronze##
85,Grey,Bronze,2020-05-29 10:55:38,II,10,7476793,Grey destroys Bronze##
86,Grey,Bronze,2020-05-28 21:11:36,II,9,7476793,Grey destroys Bronze##
87,Green,Bronze,2020-05-28 18:13:55,II,7,7476793,Green destroys Bronze##
88,Grey,Agriculture,2020-06-02 09:46:49,III,14,7476918,Grey destroys Agriculture##
89,Grey,Philosophy,2020-06-01 21:28:07,II,12,7476918,Grey destroys Philosophy##
90,Grey,Bronze,2020-05-31 20:46:56,II,8,7476918,Grey destroys Bronze##
91,Purple,Irrigation,2020-06-04 16:42:11,IV,18,7477184,Purple destroys Irrigation##
92,Purple,Iron,2020-06-04 16:41:40,IV,18,7477184,Purple destroys Iron##
93,Purple,Iron,2020-06-04 13:49:55,III,17,7477184,Purple destroys Iron##
94,Purple,Iron,2020-06-04 13:49:46,III,17,7477184,Purple destroys Iron##
95,Green,Bronze,2020-06-03 23:49:55,II,12,7477184,Green destroys Bronze##
96,Orange,Philosophy,2020-06-03 17:47:15,II,10,7477184,Orange destroys Philosophy##
97,Grey,Bronze,2020-06-03 16:55:13,II,8,7477184,Grey destroys Bronze##
98,Grey,Bronze,2020-06-03 16:54:54,II,8,7477184,Grey destroys Bronze##
99,Green,Alchemy,2020-06-09 12:06:36,IV,18,7477255,Green destroys Alchemy##
100,Green,Alchemy,2020-06-09 12:05:59,IV,18,7477255,Green destroys Alchemy##
101,Green,Selective Breeding,2020-06-09 10:10:27,III,16,7477255,Green destroys Selective Breeding##
102,Purple,Bronze,2020-06-07 22:51:46,II,9,7477255,Purple destroys Bronze##
103,Orange,Bronze,2020-06-07 22:32:09,II,9,7477255,Orange destroys Bronze##
104,Grey,Agriculture,2020-06-06 08:31:47,I,6,7477255,Grey destroys Agriculture##
105,Green,Alchemy,2020-06-15 13:25:37,IV,18,7477545,Green destroys Alchemy##
106,Green,Alchemy,2020-06-15 13:06:02,IV,17,7477545,Green destroys Alchemy##
107,Orange,Religion,2020-06-14 12:17:25,III,14,7477545,Orange destroys Religion##
108,Grey,Bronze,2020-06-14 11:42:32,III,13,7477545,Grey destroys Bronze##
109,Grey,Bronze,2020-06-14 11:42:24,III,13,7477545,Grey destroys Bronze##
110,Grey,Scientific Method,2020-06-14 11:42:09,III,13,7477545,Grey destroys Scientific Method##
111,Orange,Agriculture,2020-06-13 01:21:31,III,13,7477545,Orange destroys Agriculture##
112,Grey,Scientific Method,2020-06-17 11:45:30,IV,18,7477831,Grey destroys Scientific Method##
113,Grey,Iron,2020-06-17 11:39:20,IV,18,7477831,Grey destroys Iron##
114,Purple,Philosophy,2020-06-17 11:31:02,IV,18,7477831,Purple destroys Philosophy##
115,Green,Iron,2020-06-17 10:55:23,III,17,7477831,Green destroys Iron##
116,Green,Iron,2020-06-17 10:55:07,III,17,7477831,Green destroys Iron##
117,Green,Alchemy,2020-06-17 10:54:57,III,17,7477831,Green destroys Alchemy##
118,Green,Agriculture,2020-06-16 16:37:03,II,12,7477831,Green destroys Agriculture##
119,Orange,Religion,2020-06-16 14:24:41,II,9,7477831,Orange destroys Religion##
120,Purple,Organized religion,2020-06-21 21:56:28,IV,19,7477939,Purple destroys Organized religion##
121,Purple,Organized religion,2020-06-21 21:56:23,IV,19,7477939,Purple destroys Organized religion##
122,Purple,Organized religion,2020-06-21 21:56:17,IV,19,7477939,Purple destroys Organized religion##
123,Purple,Irrigation,2020-06-21 21:55:59,IV,19,7477939,Purple destroys Irrigation##
124,Purple,Agriculture,2020-06-21 21:54:07,IV,19,7477939,Purple destroys Agriculture##
125,Purple,Coal,2020-06-21 21:53:58,IV,19,7477939,Purple destroys Coal##
126,Purple,Philosophy,2020-06-21 21:53:49,IV,19,7477939,Purple destroys Philosophy##
127,Purple,Bronze,2020-06-21 21:53:39,IV,19,7477939,Purple destroys Bronze##
128,Orange,Irrigation,2020-06-21 12:06:22,III,16,7477939,Orange destroys Irrigation##
129,Purple,Bronze,2020-06-18 17:42:01,III,14,7477939,Purple destroys Bronze##
130,Grey,Iron,2020-06-18 17:34:46,III,13,7477939,Grey destroys Iron##
131,Grey,Alchemy,2020-06-18 14:01:23,II,11,7477939,Grey destroys Alchemy##
132,Purple,Bronze,2020-06-18 11:36:54,II,10,7477939,Purple destroys Bronze##
133,Green,Agriculture,2020-06-18 09:10:12,II,7,7477939,Green destroys Agriculture##
134,Purple,Bronze,2020-06-18 09:07:57,II,7,7477939,Purple destroys Bronze##
135,Orange,Bronze,2020-06-18 08:13:36,II,7,7477939,Orange destroys Bronze##
136,Grey,Bronze,2020-06-17 21:21:12,II,7,7477939,Grey destroys Bronze##
137,Green,Bronze,2020-06-17 18:44:33,I,6,7477939,Green destroys Bronze##
138,Grey,Bronze,2020-06-24 10:35:46,IV,19,7478150,Grey destroys Bronze##
139,Grey,Bronze,2020-06-24 10:35:27,IV,19,7478150,Grey destroys Bronze##
140,Purple,Alchemy,2020-06-24 09:59:46,IV,19,7478150,Purple destroys Alchemy##
141,Orange,Philosophy,2020-06-23 13:14:15,III,14,7478150,Orange destroys Philosophy##
142,Orange,Religion,2020-06-23 13:13:51,III,14,7478150,Orange destroys Religion##
143,Grey,Bronze,2020-06-23 12:30:52,II,13,7478150,Grey destroys Bronze##
144,Green,Iron,2020-06-26 14:57:31,IV,19,7478280,Green destroys Iron##
145,Green,Iron,2020-06-26 14:57:23,IV,19,7478280,Green destroys Iron##
146,Orange,Irrigation,2020-06-26 13:00:24,III,19,7478280,Orange destroys Irrigation##
147,Grey,Iron,2020-06-25 17:35:06,III,14,7478280,Grey destroys Iron##
148,Purple,Agriculture,2020-06-25 12:31:18,II,13,7478280,Purple destroys Agriculture##
149,Green,Philosophy,2020-06-25 10:12:50,II,9,7478280,Green destroys Philosophy##
150,Orange,Bronze,2020-07-13 23:22:06,III,15,7478389,Orange destroys Bronze##
151,Green,Bronze,2020-07-06 11:45:31,I,6,7478389,Green destroys Bronze##
152,Grey,Iron,2020-07-21 19:37:02,IV,18,7479251,Grey destroys Iron##
153,Orange,Bronze,2020-07-21 18:27:07,IV,18,7479251,Orange destroys Bronze##
154,Orange,Philosophy,2020-07-21 18:26:46,IV,18,7479251,Orange destroys Philosophy##
155,Grey,Philosophy,2020-07-21 16:29:00,III,16,7479251,Grey destroys Philosophy##
156,Orange,Agriculture,2020-07-20 12:19:46,II,11,7479251,Orange destroys Agriculture##
157,Green,Religion,2020-07-28 22:47:26,IV,19,7479593,Green destroys Religion##
158,Green,Bronze,2020-07-28 22:47:05,IV,19,7479593,Green destroys Bronze##
159,Green,Agriculture,2020-07-28 22:46:37,IV,19,7479593,Green destroys Agriculture##
160,Grey,Iron,2020-07-28 14:03:20,III,18,7479593,Grey destroys Iron##
161,Grey,Philosophy,2020-07-28 12:50:36,III,17,7479593,Grey destroys Philosophy##
162,Purple,Agriculture,2020-07-27 21:46:17,III,15,7479593,Purple destroys Agriculture##
163,Purple,Drama,2020-07-27 21:46:14,III,15,7479593,Purple destroys Drama##
164,Purple,Printing Press,2020-07-27 21:46:10,III,15,7479593,Purple destroys Printing Press##
165,Purple,Iron,2020-07-27 21:46:06,III,15,7479593,Purple destroys Iron##
166,Purple,Team Sports,2020-07-27 21:46:00,III,15,7479593,Purple destroys Team Sports##
167,Purple,Drama,2020-07-27 21:45:52,III,15,7479593,Purple destroys Drama##
168,Purple,Printing Press,2020-07-27 21:45:47,III,15,7479593,Purple destroys Printing Press##
169,Purple,Iron,2020-07-27 21:45:34,III,15,7479593,Purple destroys Iron##
170,Purple,Philosophy,2020-07-26 13:18:26,II,13,7479593,Purple destroys Philosophy##
171,Grey,Philosophy,2020-07-25 22:59:48,II,12,7479593,Grey destroys Philosophy##
172,Orange,Agriculture,2020-07-25 15:41:59,II,12,7479593,Orange destroys Agriculture##
173,Grey,Bronze,2020-07-25 06:32:37,II,11,7479593,Grey destroys Bronze##
174,Purple,Agriculture,2020-07-24 14:33:21,II,11,7479593,Purple destroys Agriculture##
175,Purple,Iron,2020-07-24 14:28:10,II,11,7479593,Purple destroys Iron##
176,Purple,Religion,2020-07-24 11:50:34,II,10,7479593,Purple destroys Religion##
177,Orange,Religion,2020-07-23 07:38:14,I,5,7479593,Orange destroys Religion##
178,Purple,Bronze,2020-08-05 10:57:32,II,10,7479938,Purple destroys Bronze##
179,Orange,Bronze,2020-08-04 22:26:10,II,9,7479938,Orange destroys Bronze##
180,Orange,Philosophy,2020-08-10 21:57:28,II,12,7480288,Orange destroys Philosophy##
181,Purple,Agriculture,2020-08-10 20:43:02,II,10,7480288,Purple destroys Agriculture##
182,Grey,Bronze,2020-08-10 20:34:42,II,10,7480288,Grey destroys Bronze##
183,Purple,Bronze,2020-08-10 18:42:23,II,9,7480288,Purple destroys Bronze##
184,Green,Bronze,2020-08-10 17:04:53,II,8,7480288,Green destroys Bronze##
185,Purple,Bronze,2020-08-14 11:22:15,IV,17,7480536,Purple destroys Bronze##
186,Purple,Alchemy,2020-08-13 17:40:54,III,13,7480536,Purple destroys Alchemy##
187,Purple,Drama,2020-08-13 16:21:30,III,12,7480536,Purple destroys Drama##
188,Grey,Agriculture,2020-08-13 16:08:44,II,12,7480536,Grey destroys Agriculture##
189,Green,Agriculture,2020-08-13 13:28:27,II,10,7480536,Green destroys Agriculture##
190,Grey,Bronze,2020-08-19 10:49:28,IV,18,7480677,Grey destroys Bronze##
191,Green,Philosophy,2020-08-19 10:40:52,IV,18,7480677,Green destroys Philosophy##
192,Orange,Agriculture,2020-08-19 10:16:36,IV,18,7480677,Orange destroys Agriculture##
193,Green,Iron,2020-08-18 09:53:54,III,12,7480677,Green destroys Iron##
194,Orange,Bronze,2020-08-17 16:58:20,II,9,7480677,Orange destroys Bronze##
195,Purple,Iron,2020-08-24 14:44:56,IV,17,7480887,Purple destroys Iron##
196,Purple,Irrigation,2020-08-24 14:44:40,IV,17,7480887,Purple destroys Irrigation##
197,Orange,Iron,2020-08-24 14:39:04,IV,17,7480887,Orange destroys Iron##
198,Grey,Alchemy,2020-08-24 14:33:52,IV,16,7480887,Grey destroys Alchemy##
199,Grey,Alchemy,2020-08-24 14:33:25,IV,16,7480887,Grey destroys Alchemy##
200,Green,Alchemy,2020-08-24 14:23:57,IV,16,7480887,Green destroys Alchemy##
201,Grey,Bronze,2020-08-24 12:03:07,III,14,7480887,Grey destroys Bronze##
202,Orange,Iron,2020-08-24 10:27:39,III,13,7480887,Orange destroys Iron##
203,Green,Philosophy,2020-08-24 07:54:12,III,12,7480887,Green destroys Philosophy##
204,Green,Iron,2020-09-01 11:10:35,IV,17,7481117,Green destroys Iron##
205,Purple,Coal,2020-09-01 10:47:25,IV,17,7481117,Purple destroys Coal##
206,Purple,Bronze,2020-09-01 10:46:41,IV,17,7481117,Purple destroys Bronze##
207,Orange,Agriculture,2020-09-01 09:39:54,IV,17,7481117,Orange destroys Agriculture##
208,Green,Iron,2020-09-01 09:31:29,III,16,7481117,Green destroys Iron##
209,Green,Alchemy,2020-09-01 09:30:54,III,16,7481117,Green destroys Alchemy##
210,Green,Agriculture,2020-09-01 09:30:33,III,16,7481117,Green destroys Agriculture##
211,Purple,Agriculture,2020-09-01 09:22:53,III,16,7481117,Purple destroys Agriculture##
212,Green,Bronze,2020-08-31 16:50:03,III,14,7481117,Green destroys Bronze##
213,Purple,Bronze,2020-08-27 18:28:34,II,9,7481117,Purple destroys Bronze##
214,Orange,Bronze,2020-08-26 14:50:50,II,8,7481117,Orange destroys Bronze##
215,Green,Iron,2020-09-09 22:52:05,III,17,7481459,Green destroys Iron##
216,Purple,Iron,2020-09-08 16:08:09,III,14,7481459,Purple destroys Iron##
217,Green,Agriculture,2020-09-08 15:37:05,II,14,7481459,Green destroys Agriculture##
218,Green,Religion,2020-09-08 15:17:29,II,13,7481459,Green destroys Religion##
219,Purple,Religion,2020-09-08 15:12:54,II,13,7481459,Purple destroys Religion##
220,Purple,Agriculture,2020-09-03 15:37:00,II,8,7481459,Purple destroys Agriculture##
221,Green,Bronze,2020-09-03 09:12:08,I,5,7481459,Green destroys Bronze##
222,Grey,Iron,2020-09-14 21:17:17,IV,19,7481844,Grey destroys Iron##
223,Green,Iron,2020-09-14 21:08:40,IV,19,7481844,Green destroys Iron##
224,Green,Mechanized Agriculture,2020-09-14 12:48:01,III,16,7481844,Green destroys Mechanized Agriculture##
